uid,count,oneMeans,bestMeans,diff,logCount
131063,83,0.75,0.75,0,4.43081679884331
131068,89,0.769230769230769,0.769230769230769,0,4.49980967033027
131071,95,0.75,0.75,0,4.56434819146784
131076,67,0.8,0.8,0,4.21950770517611
131077,9,1,1,0,2.30258509299405
131078,43,0.8,0.8,0,3.78418963391826
131080,49,0.5,0.5,0,3.91202300542815
131082,61,0.8,0.8,0,4.12713438504509
131083,40,0.833333333333333,0.833333333333333,0,3.71357206670431
131085,84,0.777777777777778,0.777777777777778,0,4.44265125649032
131091,45,0.75,0.75,0,3.8286413964891
131097,105,0.666666666666667,0.666666666666667,0,4.66343909411207
131099,35,0.666666666666667,0.666666666666667,0,3.58351893845611
131100,46,0.5,0.5,0,3.85014760171006
131105,52,0.818181818181818,0.818181818181818,0,3.97029191355212
131107,31,1,1,0,3.46573590279973
131108,36,1,1,0,3.61091791264422
131114,93,1,1,0,4.54329478227
131116,75,0.7,0.7,0,4.33073334028633
131119,47,1,1,0,3.87120101090789
131122,138,0.7,0.7,0,4.93447393313069
131125,64,0.5,0.75,0.25,4.17438726989564
131128,90,0.8,0.8,0,4.51085950651685
131129,202,0.538461538461538,0.538461538461538,0,5.31320597904179
131131,33,1,1,0,3.52636052461616
131134,151,0.666666666666667,0.666666666666667,0,5.02388052084628
131136,192,0.67741935483871,0.67741935483871,0,5.26269018890489
131137,102,0.571428571428571,0.714285714285714,0.142857142857143,4.63472898822964
131138,33,1,1,0,3.52636052461616
131143,21,0,0,0,3.09104245335832
131144,40,1,1,0,3.71357206670431
131146,44,1,1,0,3.80666248977032
131147,52,0,0,0,3.97029191355212
131148,24,0,1,1,3.2188758248682
131151,46,1,1,0,3.85014760171006
131152,283,0.714285714285714,0.761904761904762,0.0476190476190476,5.64897423816121
131157,51,0.5,0.5,0,3.95124371858143
131158,4,1,1,0,1.6094379124341
131160,15,0.5,0.5,0,2.77258872223978
131161,94,0.7,0.8,0.1,4.55387689160054
131163,83,0.823529411764706,0.823529411764706,0,4.43081679884331
131164,15,0.75,0.75,0,2.77258872223978
131165,27,1,1,0,3.3322045101752
131166,37,1,1,0,3.63758615972639
131173,80,0.833333333333333,0.833333333333333,0,4.39444915467244
131178,174,0.615384615384615,0.692307692307692,0.0769230769230769,5.16478597392351
131179,50,0.5,0.5,0,3.93182563272433
131180,50,0.5,0.5,0,3.93182563272433
131181,27,1,1,0,3.3322045101752
131182,234,0.9,0.9,0,5.45958551414416
131185,20,1,1,0,3.04452243772342
131190,103,0.733333333333333,0.733333333333333,0,4.64439089914137
131194,29,1,1,0,3.40119738166216
131195,45,0,0,0,3.8286413964891
131200,31,0.888888888888889,0.888888888888889,0,3.46573590279973
131202,95,0.444444444444444,0.444444444444444,0,4.56434819146784
131203,52,0.833333333333333,0.833333333333333,0,3.97029191355212
131211,41,0.5,0.5,0,3.73766961828337
131216,27,0.666666666666667,0.666666666666667,0,3.3322045101752
131220,42,1,1,0,3.76120011569356
131221,98,1,1,0,4.59511985013459
131229,48,0.666666666666667,0.666666666666667,0,3.89182029811063
131230,70,0.6,0.6,0,4.26267987704132
131232,21,0.666666666666667,0.666666666666667,0,3.09104245335832
131233,24,1,1,0,3.2188758248682
131234,49,0.714285714285714,0.714285714285714,0,3.91202300542815
131238,34,0.666666666666667,0.666666666666667,0,3.55534806148941
131239,10,1,1,0,2.39789527279837
131240,12,1,1,0,2.56494935746154
131241,31,0.666666666666667,0.666666666666667,0,3.46573590279973
131242,53,0.714285714285714,0.857142857142857,0.142857142857143,3.98898404656427
131244,25,0,0,0,3.25809653802148
131247,52,0.666666666666667,0.666666666666667,0,3.97029191355212
131250,32,0,0,0,3.49650756146648
131253,125,0.714285714285714,0.714285714285714,0,4.83628190695148
131258,57,1,1,0,4.06044301054642
131259,35,0.75,0.5,-0.25,3.58351893845611
131261,38,0.6,0.6,0,3.66356164612965
131262,56,0.8,0.8,0,4.04305126783455
131268,68,0.833333333333333,0.833333333333333,0,4.23410650459726
131271,35,0.666666666666667,0.666666666666667,0,3.58351893845611
131274,24,0.666666666666667,0.666666666666667,0,3.2188758248682
131277,96,0.6,0.6,0,4.57471097850338
131281,82,0.75,0.75,0,4.4188406077966
131282,55,1,1,0,4.02535169073515
131283,49,1,1,0,3.91202300542815
131284,21,1,1,0,3.09104245335832
131286,43,1,1,0,3.78418963391826
131289,8,1,1,0,2.19722457733622
131295,25,1,1,0,3.25809653802148
131298,51,0.714285714285714,0.571428571428571,-0.142857142857143,3.95124371858143
131302,18,0.5,0.5,0,2.94443897916644
131304,45,0.857142857142857,0.857142857142857,0,3.8286413964891
131305,43,0.666666666666667,0.666666666666667,0,3.78418963391826
131306,95,0.636363636363636,0.636363636363636,0,4.56434819146784
131311,9,1,1,0,2.30258509299405
131316,28,0,0,0,3.36729582998647
131317,18,1,1,0,2.94443897916644
131319,7,0.666666666666667,0.666666666666667,0,2.07944154167984
131320,31,0.5,0.5,0,3.46573590279973
131324,38,0.666666666666667,0.666666666666667,0,3.66356164612965
131326,16,0,0,0,2.83321334405622
131327,13,1,1,0,2.63905732961526
131328,34,0.666666666666667,0.666666666666667,0,3.55534806148941
131331,88,0.4,0.6,0.2,4.48863636973214
131332,45,1,1,0,3.8286413964891
131336,19,0.666666666666667,0.666666666666667,0,2.99573227355399
131338,45,0,0,0,3.8286413964891
131340,86,0.9,0.9,0,4.46590811865458
131341,46,0.5,0.5,0,3.85014760171006
131344,48,1,1,0,3.89182029811063
131345,34,0.5,0.5,0,3.55534806148941
131351,56,0.857142857142857,0.857142857142857,0,4.04305126783455
131352,41,0,0,0,3.73766961828337
131361,45,1,1,0,3.8286413964891
131362,50,0.857142857142857,0.857142857142857,0,3.93182563272433
131366,36,0.8,0.8,0,3.61091791264422
131367,43,1,1,0,3.78418963391826
131370,40,1,1,0,3.71357206670431
131376,19,1,1,0,2.99573227355399
131377,19,1,1,0,2.99573227355399
131378,24,0.8,0.8,0,3.2188758248682
131379,123,0.8,0.7,-0.1,4.82028156560504
131384,55,1,1,0,4.02535169073515
131385,47,1,1,0,3.87120101090789
131388,23,0.666666666666667,0.666666666666667,0,3.17805383034795
131389,57,0.5,0.5,0,4.06044301054642
131391,42,0.5,0.75,0.25,3.76120011569356
131394,60,0.857142857142857,0.857142857142857,0,4.11087386417331
131395,32,0.5,0.5,0,3.49650756146648
131398,45,0.833333333333333,0.833333333333333,0,3.8286413964891
131399,53,0.666666666666667,0.666666666666667,0,3.98898404656427
131400,41,1,1,0,3.73766961828337
131405,31,0.857142857142857,0.857142857142857,0,3.46573590279973
131406,49,0.857142857142857,0.857142857142857,0,3.91202300542815
131407,46,0.666666666666667,0.666666666666667,0,3.85014760171006
131409,29,1,1,0,3.40119738166216
131410,47,1,0.75,-0.25,3.87120101090789
131414,37,1,1,0,3.63758615972639
131415,46,0.583333333333333,0.583333333333333,0,3.85014760171006
131416,59,0.833333333333333,0.833333333333333,0,4.0943445622221
131418,51,1,1,0,3.95124371858143
131423,44,1,1,0,3.80666248977032
131424,46,0.875,0.875,0,3.85014760171006
131425,40,0.666666666666667,0.666666666666667,0,3.71357206670431
131426,47,0.8,0.8,0,3.87120101090789
131429,62,0.666666666666667,0.666666666666667,0,4.14313472639153
131435,30,0.75,0.75,0,3.43398720448515
131436,38,1,1,0,3.66356164612965
131441,14,1,1,0,2.70805020110221
131445,14,0.666666666666667,0.666666666666667,0,2.70805020110221
131449,120,0.625,0.625,0,4.79579054559674
131454,70,0.909090909090909,0.909090909090909,0,4.26267987704132
